Alias,Name,Country,Year,Host,BEASTgroup,Area,FullGenome,Ocean
B5392,B5392,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B5591,B5591,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B5593,B5593,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B5597,B5597,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7146,B7146,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7281,B7281,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7283,B7283,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7286,B7286,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7293,B7293,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7437,B7437,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7453,B7453,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7474,B7474,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7483,B7483,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7669,B7669,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7803,B7803,Pacific Canada,2014,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7811,B7811,Pacific Canada,2014,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7817,B7817,Pacific Canada,2014,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7874,B7874,Pacific Canada,2014,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7875,B7875,Pacific Canada,2014,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7877,B7877,Pacific Canada,2014,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7883,B7883,Pacific Canada,2014,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7888,B7888,Pacific Canada,2014,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
B7910,B7910,Pacific Canada,2014,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
F0059,F0059,Pacific Canada,2015,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
G121,G121,Pacific Canada,2012,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
G44,G44,Pacific Canada,2012,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
G463,G463,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
G523,G523,Pacific Canada,2011,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
G606,G606,Pacific Canada,2011,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
G707,G707,Pacific Canada,2011,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
G712,G712,Pacific Canada,2011,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
G725,G725,Pacific Canada,2011,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
G781,G781,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
G890,G890,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
Piscine_reovirus_isolate_B5690,KX851970,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
Piscine_reovirus_isolate_B7274,KX851971,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
Piscine_orthoreovirus_isolate_A.3.2-36_G609,MH093978,Pacific Canada,2011,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
Piscine_orthoreovirus_isolate_A.3.2-69_G531,MH093979,Pacific Canada,2011,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
Piscine_orthoreovirus_isolate_A.3.2-153_G808,MH093980,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
Piscine_orthoreovirus_isolate_A.3.3-19_G744,MH093981,Pacific Canada,2012,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
Piscine_orthoreovirus_isolate_A.3.3-133_G444,MH093982,Pacific Canada,2012,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific
Piscine_orthoreovirus_isolate_A.3.5-168_G860,MH093983,Pacific Canada,2013,Atlanticsalmon,FarmedAtlantic,NE Pacific,Yes,NE Pacific