"","lower","X25","mid","X75","upper","metric"
"lo_sal",-0.689754028423678,-0.342406694083358,-0.168476213959482,-0.00419682685864244,0.372652326093946,"prev_std"
"pa_kab",-0.644964930382321,-0.258418812231822,-0.080806558974867,0.112095556818859,0.51746313363669,"prev_std"
"ven",-0.230413090171565,0.162077369712092,0.347264166883362,0.537381215861817,0.920093793455876,"prev_std"
"de_sal",-0.335867782346209,0.103089223568232,0.297797552459977,0.508391402213291,0.906413977916942,"prev_std"
"ce_sha",-0.180642819227918,0.195179807243054,0.371778223189208,0.554741050470773,0.938826080387803,"prev_std"
"ku_thy",-0.110072255076829,0.344515403934812,0.550265546261024,0.744189609727902,1.14523604241688,"prev_std"
"ihnv",-0.36487464075111,-0.154285732461686,-0.0578105648643854,0.0426548197022246,0.250961431070551,"prev_std"
"sp_des",1.00532704647084,1.52652899112865,1.74978118424733,1.96827162539624,2.51496561210229,"prev_std"
"pspv",-0.540691636177656,-0.191737697189668,-0.0208784607640224,0.141396514036294,0.460206611330827,"prev_std"
"fl_psy",-0.244005014667052,0.0364514331356792,0.169031231321162,0.294496804613701,0.546124496340587,"prev_std"
"te_bry",-0.137595938851365,0.177170061128131,0.331180786421984,0.481623178740087,0.763707390298845,"prev_std"
"ic_hof",-0.593607927577105,-0.383705239682185,-0.277844240046114,-0.166927882240854,0.0543275339994704,"prev_std"
"ic_mul",-0.635031370491314,-0.242421930595724,-0.0496713457211329,0.14289274715796,0.548352566223545,"prev_std"
"fa_mar",-1.09222888774985,-0.367529349997913,-0.022360646581091,0.29754228222972,1.04436573824021,"prev_std"
"richness",-1.39562755398861,-0.723865296957724,-0.39796063151561,-0.0899469984900454,0.555851645473389,"prev_std"
"my_arc",-1.45413626155236,-1.07993532084891,-0.883058020622072,-0.698646476929675,-0.272328544289428,"prev_std"
"c_b_cys",-0.816577299197549,-0.321149729103399,-0.109022304435172,0.108812564332453,0.566095783971027,"prev_std"
"rib",-0.841384982272419,-0.491626606594337,-0.328176407650297,-0.162398585595066,0.18687691211175,"prev_std"
"prv",-0.483520493458453,-0.310729594656344,-0.220823423520872,-0.128520452893995,0.0808688354042384,"prev_std"
"rlo",-0.208695881816372,0.304055790608387,0.532629037688991,0.774644121285805,1.26589793158448,"prev_std"
"pa_pse",-0.7622039492471,-0.453478979737578,-0.306504794798648,-0.168845397405333,0.104189706079293,"prev_std"
"pa_ther",-0.134692323686272,0.233635023993625,0.385412264333212,0.541063375689671,0.857177064619049,"prev_std"
"pa_min",0.154268298113071,0.382640323249078,0.495027013578556,0.603120022598323,0.838853551025562,"prev_std"
"sch",-0.224484346809893,0.214148334170601,0.436202862024887,0.654291828413353,1.12039862206785,"prev_std"
"nu_sal",-0.644421019365206,-0.356845856940068,-0.209094599421837,-0.052402808803475,0.318008861288961,"prev_std"
"arena2",-0.447752506456974,-0.116027284325918,0.0483113783671886,0.200070974906083,0.523260951424435,"prev_std"
"Circo.virus",-0.477983444441592,-0.240414464549854,-0.135480082358165,-0.021659754827245,0.213233483744079,"prev_std"
"te_mar",0.458200448233251,0.99465896565449,1.21056058569917,1.41600633247554,1.87990670560107,"prev_std"
"IcD",-0.472949150772241,-0.136318209228203,0.0273558390992483,0.189121233877662,0.516739208288008,"prev_std"
"Rhabdo3_virus",-0.510522283989603,-0.284032213323291,-0.180783840226867,-0.0838922293902607,0.154084422061665,"prev_std"
"Qin",-0.481348224506363,-0.185715069238379,-0.0658424781329949,0.0568130031274013,0.334753670938559,"prev_std"
"lo_sal1",-0.943485582212486,-0.652977104524638,-0.516635123444118,-0.381714714695896,-0.075825763231042,"SST"
"pa_kab1",-0.967345112047928,-0.686078028989538,-0.538459858499754,-0.389269111421343,-0.0631101308923602,"SST"
"ven1",-0.869390868281799,-0.571324210629916,-0.415600393481866,-0.274258170125143,0.0236273969075447,"SST"
"de_sal1",-0.98656721495016,-0.703154664111539,-0.56520464299101,-0.436159662777322,-0.152511230920134,"SST"
"ce_sha1",-1.03429565854933,-0.748636222679107,-0.614154550253863,-0.4792491802931,-0.200174186377458,"SST"
"ku_thy1",-0.985341598069449,-0.750549402548842,-0.629877478374684,-0.494768453813131,-0.21857637758005,"SST"
"ihnv1",-0.919626717635288,-0.634739204700931,-0.492384666781382,-0.341434018959515,-0.0403424723902773,"SST"
"sp_des1",-0.419117260817739,-0.235422071678665,-0.150771578229338,-0.0746973897833439,0.113177349231491,"SST"
"pspv1",-1.03531163392818,-0.679209035408545,-0.500948845140667,-0.329590621791308,0.0349986069220402,"SST"
"fl_psy1",-1.08213976806567,-0.760309314159874,-0.610483564747702,-0.452064641190868,-0.134285836003558,"SST"
"te_bry1",-1.15638872688595,-0.874076851213692,-0.729493493074034,-0.569792316664385,-0.233233606960165,"SST"
"ic_hof1",-0.985999131106917,-0.738673746467279,-0.604067873865351,-0.473809390987948,-0.18958056181659,"SST"
"ic_mul1",-0.923476250168077,-0.618718771537011,-0.467190620827593,-0.312234415465063,0.00477212107200255,"SST"
"fa_mar1",-1.01451823527975,-0.683434064879776,-0.526226643093135,-0.372035363462797,-0.0356643132686777,"SST"
"richness1",-0.957854471527231,-0.529829966686399,-0.327159543502417,-0.120634054990094,0.316224603792087,"SST"
"my_arc1",-0.492726098090722,-0.176383345401736,-0.0358273239047516,0.111178674014513,0.377435938548751,"SST"
"c_b_cys1",-0.952617727752298,-0.625729900067626,-0.477818789149629,-0.330479986053978,0.00852135775058374,"SST"
"rib1",-0.891768956772572,-0.613286067990884,-0.47916487941046,-0.346505019549355,-0.0709315186084793,"SST"
"prv1",-1.03000353387912,-0.764812767099593,-0.629867107817019,-0.50300392655057,-0.171608236554944,"SST"
"rlo1",-0.826506862860994,-0.535206570494966,-0.397702343352068,-0.263863571127093,0.0315890125137196,"SST"
"pa_pse1",-0.877795798247364,-0.635492393573627,-0.507503465930929,-0.375243263708,-0.08898785702145,"SST"
"pa_ther1",-1.04312965014923,-0.784565099792185,-0.650848835754942,-0.508428634852726,-0.208205664687792,"SST"
"pa_min1",-0.858726556567981,-0.627366446662337,-0.531349358133674,-0.43514622396816,-0.210105920724815,"SST"
"sch1",-0.810436678598867,-0.48946199814804,-0.329806099041263,-0.164220720430461,0.195883458965491,"SST"
"nu_sal1",-0.971584492243755,-0.571339287788565,-0.377325333722298,-0.172656636683081,0.272945793891165,"SST"
"arena21",-1.04479545014235,-0.770263734818075,-0.637553850491734,-0.499625422029331,-0.201526436070649,"SST"
"Circo.virus1",-1.25257312877848,-0.896195519912486,-0.729092781618022,-0.55252873030503,-0.166542472805076,"SST"
"te_mar1",-0.802628592339135,-0.612171152663551,-0.525148618423113,-0.433426005264985,-0.250053385037458,"SST"
"IcD1",-1.34577294759064,-0.942669918690872,-0.744438923220599,-0.54233187991925,-0.104996649071121,"SST"
"Rhabdo3_virus1",-1.32540390788297,-0.980731739389336,-0.821045039242823,-0.671008782295556,-0.307373290109912,"SST"
"Qin1",-1.30303262999552,-0.903502846111752,-0.718610385226466,-0.535079967715016,-0.0834042995234841,"SST"
"lo_sal2",0.518338562542774,0.65356207376431,0.763619389606246,0.890470253512211,1.20732564507648,"sigma"
"pa_kab2",0.523867484383686,0.672164526804006,0.778164240196824,0.90886053674728,1.26820835957076,"sigma"
"ven2",0.491212353284073,0.624419142411852,0.725416003408929,0.850951829303143,1.1550144859458,"sigma"
"de_sal2",0.504015475066969,0.63463609985101,0.734517782553868,0.859566968565309,1.15418208499495,"sigma"
"ce_sha2",0.479696854262016,0.611205719423335,0.702042529830106,0.815481732346709,1.12813337930879,"sigma"
"ku_thy2",0.449444777591283,0.572590831742967,0.66150234001254,0.776553960738776,1.07437638261773,"sigma"
"ihnv2",0.525065593093856,0.665362005882764,0.762799902116056,0.893160544136219,1.23831340455275,"sigma"
"sp_des2",0.231251162285367,0.306570956807879,0.358801958512111,0.428767827783858,0.657970250539174,"sigma"
"pspv2",0.528513110914194,0.670843441651468,0.775043122783137,0.908845318324121,1.25467121138639,"sigma"
"fl_psy2",0.501458895234783,0.637608673727209,0.73488653356073,0.858211246817472,1.16437163481259,"sigma"
"te_bry2",0.469035416561305,0.598114081793619,0.690921610561282,0.80897350378531,1.11815618141833,"sigma"
"ic_hof2",0.461129445061784,0.587476753446141,0.675306994485032,0.784851717874083,1.08920395226038,"sigma"
"ic_mul2",0.491769686694406,0.63988139503535,0.740665957636602,0.867601516107056,1.21513693483872,"sigma"
"fa_mar2",0.522457866355383,0.662079077826687,0.769202539658398,0.909240535517288,1.27529881491647,"sigma"
"richness2",0.511747166111924,0.655915490448765,0.756494324676762,0.879909909966323,1.23151373834079,"sigma"
"my_arc2",0.354957257108243,0.458505683879242,0.530196816262949,0.627836086541386,0.901624507480407,"sigma"
"c_b_cys2",0.521958559499826,0.668058282071595,0.769792098902883,0.904328097316116,1.26792074468956,"sigma"
"rib2",0.490597163551832,0.620670993416329,0.710459406714146,0.820202378366982,1.1523687775093,"sigma"
"prv2",0.452756039068823,0.587469010133414,0.680167670679955,0.795149559528547,1.14103186924196,"sigma"
"rlo2",0.476772808595278,0.604731152879172,0.698160218402985,0.815444119436083,1.11246386189418,"sigma"
"pa_pse2",0.467523117000217,0.60486656650717,0.696529676151464,0.822246167734773,1.1312634992365,"sigma"
"pa_ther2",0.44618318798193,0.579584217714615,0.671060724583022,0.791918518132288,1.12848482770279,"sigma"
"pa_min2",0.374531251253157,0.476172268981017,0.555460760130989,0.653736596619731,0.906125443943094,"sigma"
"sch2",0.488101662760532,0.619653702281111,0.715069001736437,0.835643663890596,1.16279279558527,"sigma"
"nu_sal2",0.425580762290501,0.57298938373413,0.681473180773447,0.82966793701661,1.25257546451227,"sigma"
"arena22",0.46049430901269,0.595736362861291,0.699067703086515,0.829946281579116,1.19169309930945,"sigma"
"Circo.virus2",0.43866640151367,0.573292048418128,0.678436521390401,0.822137850640553,1.20733473106352,"sigma"
"te_mar2",0.275474963304399,0.357142060960014,0.423261597295042,0.51256799750936,0.763112797320009,"sigma"
"IcD2",0.458722268000993,0.603217967583586,0.706431913064351,0.837731055251066,1.22864514647578,"sigma"
"Rhabdo3_virus2",0.414399125855442,0.544881617687396,0.644085477259481,0.769204085847001,1.11807121939447,"sigma"
"Qin2",0.458861351746381,0.602443579683035,0.719772581234358,0.852454070142751,1.23096089674568,"sigma"
