"","Stock_Analysis","Year","N","posdet","prev","mean_load","agent"
"1","",2007,16,0,0,NA,"prv"
"2","",2008,34,0,0,NA,"prv"
"3","",2009,33,1,0.0303030303030303,0.143675666,"prv"
"4","",2010,33,0,0,NA,"prv"
"5","",2011,70,0,0,NA,"prv"
"6","",2012,109,0,0,NA,"prv"
"7","",2013,53,1,0.0188679245283019,0.221351559,"prv"
"8","",2014,13,0,0,NA,"prv"
"9","",2015,77,0,0,NA,"prv"
"10","",2016,8,0,0,NA,"prv"
"11","",2017,84,2,0.0238095238095238,0.448979388,"prv"
"12","",2018,8,0,0,NA,"prv"
"13","",2020,13,1,0.0769230769230769,0.88604309,"prv"
"14","Birkenhead",2007,2,1,0.5,0.086386318,"prv"
"15","Birkenhead",2009,10,1,0.1,0.735680899,"prv"
"16","Birkenhead",2010,2,0,0,NA,"prv"
"17","Birkenhead",2011,5,0,0,NA,"prv"
"18","Birkenhead",2012,4,0,0,NA,"prv"
"19","Birkenhead",2013,22,0,0,NA,"prv"
"20","Birkenhead",2014,7,0,0,NA,"prv"
"21","Birkenhead",2015,17,0,0,NA,"prv"
"22","Birkenhead",2018,4,0,0,NA,"prv"
"23","Bowron",2009,2,0,0,NA,"prv"
"24","Bowron",2012,2,0,0,NA,"prv"
"25","Bowron",2013,7,0,0,NA,"prv"
"26","Bowron",2014,1,0,0,NA,"prv"
"27","Central Coast",2008,12,0,0,NA,"prv"
"28","Central Coast",2009,40,0,0,NA,"prv"
"29","Central Coast",2010,13,1,0.0769230769230769,0.606852896,"prv"
"30","Central Coast",2011,29,0,0,NA,"prv"
"31","Central Coast",2012,10,0,0,NA,"prv"
"32","Central Coast",2013,40,1,0.025,22.11727828,"prv"
"33","Central Coast",2014,56,0,0,NA,"prv"
"34","Central Coast",2015,18,0,0,NA,"prv"
"35","Central Coast",2018,2,0,0,NA,"prv"
"36","Chilko",2007,3,2,0.666666666666667,4.5176057065,"prv"
"37","Chilko",2008,22,6,0.272727272727273,0.793937602666667,"prv"
"38","Chilko",2009,72,3,0.0416666666666667,0.298561337333333,"prv"
"39","Chilko",2010,69,0,0,NA,"prv"
"40","Chilko",2011,134,0,0,NA,"prv"
"41","Chilko",2012,137,0,0,NA,"prv"
"42","Chilko",2013,690,4,0.00579710144927536,0.11160183475,"prv"
"43","Chilko",2014,83,0,0,NA,"prv"
"44","Chilko",2015,95,0,0,NA,"prv"
"45","Chilko",2016,20,0,0,NA,"prv"
"46","Chilko",2017,14,0,0,NA,"prv"
"47","Chilko",2018,12,0,0,NA,"prv"
"48","Chilliwack",2010,15,0,0,NA,"prv"
"49","Chilliwack",2012,2,0,0,NA,"prv"
"50","Chilliwack",2013,53,1,0.0188679245283019,0.294541063,"prv"
"51","Chilliwack",2014,25,0,0,NA,"prv"
"52","Chilliwack",2016,1,0,0,NA,"prv"
"53","Chilliwack",2018,8,0,0,NA,"prv"
"54","Cultus",2009,28,0,0,NA,"prv"
"55","Cultus",2011,21,0,0,NA,"prv"
"56","Cultus",2012,39,0,0,NA,"prv"
"57","Cultus",2013,22,0,0,NA,"prv"
"58","Cultus",2014,2,0,0,NA,"prv"
"59","Cultus",2015,2,0,0,NA,"prv"
"60","Cultus",2018,1,0,0,NA,"prv"
"61","Early Stuart",2007,1,0,0,NA,"prv"
"62","Early Stuart",2009,2,0,0,NA,"prv"
"63","Early Stuart",2010,5,0,0,NA,"prv"
"64","Early Stuart",2011,32,0,0,NA,"prv"
"65","Early Stuart",2012,2,0,0,NA,"prv"
"66","Early Stuart",2013,1,0,0,NA,"prv"
"67","Early Stuart",2014,8,0,0,NA,"prv"
"68","Early Stuart",2015,18,0,0,NA,"prv"
"69","Early Stuart",2016,1,0,0,NA,"prv"
"70","Early Stuart",2017,1,0,0,NA,"prv"
"71","Early Stuart",2018,2,0,0,NA,"prv"
"72","Gates",2009,3,0,0,NA,"prv"
"73","Gates",2010,1,0,0,NA,"prv"
"74","Gates",2011,5,0,0,NA,"prv"
"75","Gates",2012,12,0,0,NA,"prv"
"76","Gates",2013,53,0,0,NA,"prv"
"77","Gates",2014,8,0,0,NA,"prv"
"78","Gates",2015,29,0,0,NA,"prv"
"79","Harrison-Lillooet",2013,2,0,0,NA,"prv"
"80","Harrison-Lillooet",2014,1,0,0,NA,"prv"
"81","Harrison-Widgeon",2008,68,3,0.0441176470588235,0.276541211333333,"prv"
"82","Harrison-Widgeon",2009,9,0,0,NA,"prv"
"83","Harrison-Widgeon",2010,87,0,0,NA,"prv"
"84","Harrison-Widgeon",2011,31,0,0,NA,"prv"
"85","Harrison-Widgeon",2012,32,0,0,NA,"prv"
"86","Harrison-Widgeon",2013,19,1,0.0526315789473684,0.604583646,"prv"
"87","Harrison-Widgeon",2014,67,0,0,NA,"prv"
"88","Harrison-Widgeon",2015,5,0,0,NA,"prv"
"89","Late Shuswap",2007,2,2,1,0.114908047,"prv"
"90","Late Shuswap",2008,61,1,0.0163934426229508,0.789661878,"prv"
"91","Late Shuswap",2009,23,0,0,NA,"prv"
"92","Late Shuswap",2010,7,0,0,NA,"prv"
"93","Late Shuswap",2011,78,0,0,NA,"prv"
"94","Late Shuswap",2012,400,2,0.005,692.3153958265,"prv"
"95","Late Shuswap",2013,54,0,0,NA,"prv"
"96","Late Shuswap",2014,1,0,0,NA,"prv"
"97","Late Shuswap",2015,106,0,0,NA,"prv"
"98","Late Shuswap",2016,76,0,0,NA,"prv"
"99","Late Stuart",2008,3,0,0,NA,"prv"
"100","Late Stuart",2010,2,0,0,NA,"prv"
"101","Late Stuart",2011,23,0,0,NA,"prv"
"102","Late Stuart",2012,1,0,0,NA,"prv"
"103","Late Stuart",2014,11,0,0,NA,"prv"
"104","Late Stuart",2015,37,0,0,NA,"prv"
"105","Late Stuart",2016,3,0,0,NA,"prv"
"106","Nadina",2008,2,1,0.5,2.390867641,"prv"
"107","Nadina",2010,2,0,0,NA,"prv"
"108","Nadina",2011,4,0,0,NA,"prv"
"109","Nadina",2012,5,0,0,NA,"prv"
"110","Nadina",2014,24,0,0,NA,"prv"
"111","Nadina",2015,7,0,0,NA,"prv"
"112","Nadina",2018,3,0,0,NA,"prv"
"113","Nahatlatch",2010,2,0,0,NA,"prv"
"114","Nahatlatch",2011,1,0,0,NA,"prv"
"115","Nahatlatch",2012,3,0,0,NA,"prv"
"116","Nahatlatch",2013,13,0,0,NA,"prv"
"117","Nahatlatch",2015,6,0,0,NA,"prv"
"118","Nass",2008,2,0,0,NA,"prv"
"119","Nass",2009,9,0,0,NA,"prv"
"120","Nass",2010,4,0,0,NA,"prv"
"121","North Thompson",2008,1,1,1,3.884196689,"prv"
"122","North Thompson",2009,3,0,0,NA,"prv"
"123","North Thompson",2010,2,0,0,NA,"prv"
"124","North Thompson",2011,8,0,0,NA,"prv"
"125","North Thompson",2012,1,0,0,NA,"prv"
"126","North Thompson",2013,70,1,0.0142857142857143,0.05260095,"prv"
"127","North Thompson",2014,7,0,0,NA,"prv"
"128","North Thompson",2015,33,0,0,NA,"prv"
"129","Pitt",2009,1,1,1,0.185780134,"prv"
"130","Pitt",2010,7,0,0,NA,"prv"
"131","Pitt",2011,3,0,0,NA,"prv"
"132","Pitt",2012,2,0,0,NA,"prv"
"133","Pitt",2013,74,0,0,NA,"prv"
"134","Pitt",2014,14,0,0,NA,"prv"
"135","Pitt",2015,32,0,0,NA,"prv"
"136","Pitt",2018,1,0,0,NA,"prv"
"137","Portage",2009,1,0,0,NA,"prv"
"138","Portage",2012,5,0,0,NA,"prv"
"139","Portage",2013,30,0,0,NA,"prv"
"140","Portage",2015,1,0,0,NA,"prv"
"141","QCI",2009,5,0,0,NA,"prv"
"142","QCI",2010,3,0,0,NA,"prv"
"143","QCI",2012,1,0,0,NA,"prv"
"144","Quesnel",2007,3,1,0.333333333333333,0.677119738,"prv"
"145","Quesnel",2008,4,0,0,NA,"prv"
"146","Quesnel",2009,12,1,0.0833333333333333,0.959741194,"prv"
"147","Quesnel",2010,8,0,0,NA,"prv"
"148","Quesnel",2011,22,0,0,NA,"prv"
"149","Quesnel",2012,54,0,0,NA,"prv"
"150","Quesnel",2013,132,0,0,NA,"prv"
"151","Quesnel",2014,1,0,0,NA,"prv"
"152","Quesnel",2015,202,0,0,NA,"prv"
"153","Quesnel",2016,32,0,0,NA,"prv"
"154","Raft",2010,5,0,0,NA,"prv"
"155","Raft",2012,2,0,0,NA,"prv"
"156","Raft",2013,16,0,0,NA,"prv"
"157","Raft",2014,1,0,0,NA,"prv"
"158","Raft",2015,29,0,0,NA,"prv"
"159","Raft",2018,1,0,0,NA,"prv"
"160","Scotch",2008,8,0,0,NA,"prv"
"161","Scotch",2009,12,1,0.0833333333333333,0.127533782,"prv"
"162","Scotch",2010,2,0,0,NA,"prv"
"163","Scotch",2011,1,0,0,NA,"prv"
"164","Scotch",2012,50,0,0,NA,"prv"
"165","Scotch",2013,4,1,0.25,0.564306881,"prv"
"166","Scotch",2014,2,0,0,NA,"prv"
"167","Scotch",2015,8,0,0,NA,"prv"
"168","Scotch",2016,12,0,0,NA,"prv"
"169","Seymour",2008,8,0,0,NA,"prv"
"170","Seymour",2009,7,0,0,NA,"prv"
"171","Seymour",2010,2,0,0,NA,"prv"
"172","Seymour",2011,27,0,0,NA,"prv"
"173","Seymour",2012,49,0,0,NA,"prv"
"174","Seymour",2013,36,0,0,NA,"prv"
"175","Seymour",2015,42,0,0,NA,"prv"
"176","Seymour",2016,3,0,0,NA,"prv"
"177","Seymour",2017,2,0,0,NA,"prv"
"178","Skeena",2009,1,0,0,NA,"prv"
"179","Skeena",2012,1,0,0,NA,"prv"
"180","Skeena",2013,10,0,0,NA,"prv"
"181","South Coast",2009,4,0,0,NA,"prv"
"182","South Coast",2011,3,0,0,NA,"prv"
"183","South Coast",2012,1,1,1,1.634163399,"prv"
"184","South Coast",2013,9,0,0,NA,"prv"
"185","South Coast",2014,2,0,0,NA,"prv"
"186","South Coast",2018,2,0,0,NA,"prv"
"187","Stellako",2008,2,0,0,NA,"prv"
"188","Stellako",2009,3,0,0,NA,"prv"
"189","Stellako",2010,6,0,0,NA,"prv"
"190","Stellako",2011,9,0,0,NA,"prv"
"191","Stellako",2012,15,0,0,NA,"prv"
"192","Stellako",2013,79,1,0.0126582278481013,0.072606194,"prv"
"193","Stellako",2014,14,0,0,NA,"prv"
"194","Stellako",2015,29,0,0,NA,"prv"
"195","Stellako",2018,2,0,0,NA,"prv"
"196","TransBoundary",2009,2,0,0,NA,"prv"
"197","TransBoundary",2010,1,0,0,NA,"prv"
"198","TransBoundary",2011,3,0,0,NA,"prv"
"199","TransBoundary",2013,2,0,0,NA,"prv"
"200","US",2009,33,9,0.272727272727273,537.066883531111,"prv"
"201","US",2010,50,4,0.08,1.6843905575,"prv"
"202","US",2011,27,0,0,NA,"prv"
"203","US",2012,7,0,0,NA,"prv"
"204","US",2013,6,0,0,NA,"prv"
"205","US",2014,8,0,0,NA,"prv"
"206","US",2015,2,0,0,NA,"prv"
"207","US",2018,6,0,0,NA,"prv"
"208","VI",2007,9,4,0.444444444444444,0.49995815025,"prv"
"209","VI",2008,23,1,0.0434782608695652,7.829493098,"prv"
"210","VI",2009,30,5,0.166666666666667,0.5425739404,"prv"
"211","VI",2010,9,1,0.111111111111111,1.854853414,"prv"
"212","VI",2011,31,0,0,NA,"prv"
"213","VI",2012,58,1,0.0172413793103448,0.192302031,"prv"
"214","VI",2013,57,0,0,NA,"prv"
"215","VI",2014,29,0,0,NA,"prv"
"216","VI",2015,4,0,0,NA,"prv"
"217","Weaver",2008,1,0,0,NA,"prv"
"218","Weaver",2009,8,0,0,NA,"prv"
"219","Weaver",2010,1,0,0,NA,"prv"
"220","Weaver",2011,3,0,0,NA,"prv"
"221","Weaver",2012,3,0,0,NA,"prv"
"222","Weaver",2015,26,0,0,NA,"prv"
"223","Weaver",2018,1,0,0,NA,"prv"
